output_id	test_runs	file_type	compression	predictor	level	max_z_error	file_size_mb	gdal_translate_time_ms
lzw_predictor-no	5	cog	lzw	no			3363.22	193008
zstd_predictor-no_level-1	5	cog	zstd	no	1		3151.70	191110
lzw_predictor-3	5	cog	lzw	3			2894.69	191415
zstd_predictor-no_level-2	5	cog	zstd	no	2		2839.42	190886
deflate_predictor-no_level-1	5	cog	deflate	no	1		2823.80	191641
zstd_predictor-no_level-3	5	cog	zstd	no	3		2758.45	191407
deflate_predictor-no_level-2	5	cog	deflate	no	2		2713.86	191860
deflate_predictor-no_level-3	5	cog	deflate	no	3		2711.42	191295
deflate_predictor-no_level-4	5	cog	deflate	no	4		2710.58	191031
deflate_predictor-no_level-7	5	cog	deflate	no	7		2698.62	191376
deflate_predictor-no_level-8	5	cog	deflate	no	8		2698.62	192395
deflate_predictor-no_level-5	5	cog	deflate	no	5		2687.77	191566
lzw_predictor-2	5	cog	lzw	2			2686.27	190926
deflate_predictor-no_level-6	5	cog	deflate	no	6		2685.05	191689
zstd_predictor-no_level-4	5	cog	zstd	no	4		2658.08	192115
zstd_predictor-no_level-5	5	cog	zstd	no	5		2591.36	193280
zstd_predictor-no_level-6	5	cog	zstd	no	6		2584.62	196585
zstd_predictor-no_level-8	5	cog	zstd	no	8		2584.54	199404
zstd_predictor-no_level-7	5	cog	zstd	no	7		2584.40	196962
zstd_predictor-no_level-9	5	cog	zstd	no	9		2582.96	225141
zstd_predictor-no_level-10	5	cog	zstd	no	10		2582.10	258615
zstd_predictor-no_level-11	5	cog	zstd	no	11		2582.10	278017
zstd_predictor-no_level-12	5	cog	zstd	no	12		2581.60	279657
zstd_predictor-no_level-13	5	cog	zstd	no	13		2581.16	308648
zstd_predictor-no_level-14	5	cog	zstd	no	14		2581.16	423749
zstd_predictor-no_level-15	5	cog	zstd	no	15		2581.12	477814
zstd_predictor-no_level-16	5	cog	zstd	no	16		2546.62	393349
deflate_predictor-no_level-9	5	cog	deflate	no	9		2546.20	198612
zstd_predictor-no_level-17	5	cog	zstd	no	17		2488.05	441850
zstd_predictor-2_level-1	5	cog	zstd	2	1		2471.01	189782
zstd_predictor-no_level-18	5	cog	zstd	no	18		2458.80	471727
zstd_predictor-no_level-20	5	cog	zstd	no	20		2457.58	844778
zstd_predictor-no_level-19	5	cog	zstd	no	19		2457.58	583858
deflate_predictor-3_level-1	5	cog	deflate	3	1		2242.44	189427
deflate_predictor-3_level-2	5	cog	deflate	3	2		2233.76	189236
zstd_predictor-3_level-1	5	cog	zstd	3	1		2226.35	189200
deflate_predictor-3_level-3	5	cog	deflate	3	3		2222.83	189439
zstd_predictor-3_level-2	5	cog	zstd	3	2		2216.61	189658
